Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,JPM,XOM,JNJ
2025-08-20,225.3723907470703,501.7125549316406,198.87171936035156,223.80999755859375,175.370849609375,745.9680786132812,323.8999938964844,288.0459899902344,106.15605926513672,174.48040771484375
2025-08-21,224.26551818847656,501.0666198730469,199.3007354736328,221.9499969482422,174.95091247558594,737.3682250976562,320.1099853515625,287.28704833984375,106.84075927734375,174.56822204589844
2025-08-22,227.11746215820312,504.037841796875,205.62648010253906,228.83999633789062,177.96043395996094,753.021484375,340.010009765625,291.9885559082031,108.84591674804688,174.91944885253906
2025-08-25,226.5191650390625,501.0865173339844,208.02110290527344,227.94000244140625,179.78012084960938,751.5349731445312,346.6000061035156,290.6678161621094,109.29583740234375,174.0609130859375
2025-08-26,228.6630859375,498.8804626464844,206.6741180419922,228.7100067138672,181.7397918701172,752.3331298828125,351.6700134277344,294.28515625,109.05130767822266,173.4515838623047
2025-08-27,229.8397674560547,503.5509033203125,207.0133514404297,229.1199951171875,181.56983947753906,745.62890625,349.6000061035156,294.9849548339844,110.28375244140625,173.74639892578125
2025-08-28,231.9039306640625,506.4326477050781,211.1640167236328,231.60000610351562,180.1400604248047,749.35009765625,345.9800109863281,296.7492980957031,110.8706283569336,172.42947387695312
2025-08-29,231.485107421875,503.501220703125,212.43115234375,229.0,174.1510467529297,736.9691772460938,333.8699951171875,297.09423828125,111.7900619506836,174.11985778808594
2025-09-02,229.0719451904297,501.9410705566406,210.87466430664062,225.33999633789062,170.75161743164062,733.3875732421875,329.3599853515625,295.39892578125,112.18132019042969,174.99453735351562
2025-09-03,237.79725646972656,502.1696472167969,230.1412353515625,225.99000549316406,170.59165954589844,735.3230590820312,334.0899963378906,295.211669921875,109.46212768554688,174.93557739257812
2025-09-04,239.1035614013672,504.7731628417969,231.7775421142578,235.67999267578125,171.63148498535156,746.8959350585938,338.5299987792969,299.4598083496094,109.94141387939453,175.6824951171875
2025-09-05,239.0137939453125,491.884765625,234.4714813232422,232.3300018310547,166.9922637939453,750.6870727539062,350.8399963378906,290.1552734375,106.84075927734375,175.35816955566406
2025-09-08,237.2089080810547,495.06463623046875,233.72247314453125,235.83999633789062,168.2820281982422,750.537353515625,346.3999938964844,288.70635986328125,107.44718933105469,175.06333923339844
2025-09-09,233.68887329101562,495.2732849121094,239.30491638183594,238.24000549316406,170.7316131591797,763.9059448242188,346.9700012207031,293.5754699707031,108.22969055175781,173.9134979248047
2025-09-10,226.1501922607422,497.22100830078125,238.84552001953125,230.3300018310547,177.300537109375,750.2180786132812,347.7900085449219,296.22686767578125,110.03922271728516,172.7636260986328
2025-09-11,229.3810577392578,497.8569641113281,240.0438995361328,229.9499969482422,177.1505584716797,749.140625,368.80999755859375,301.1748352050781,109.68709564208984,175.42697143554688
2025-09-12,233.40968322753906,506.6910095214844,240.4733123779297,228.14999389648438,177.80047607421875,753.8197021484375,395.94000244140625,302.5054626464844,109.7066650390625,174.99453735351562
2025-09-15,236.0322265625,512.1166381835938,251.26864624023438,231.42999267578125,177.73049926757812,762.9082641601562,410.0400085449219,304.4668884277344,109.89250946044922,174.3459014892578
2025-09-16,237.4781494140625,505.83642578125,250.8192596435547,234.0500030517578,174.86080932617188,777.1747436523438,421.6199951171875,304.75274658203125,112.17153930664062,173.42208862304688
2025-09-17,238.3157958984375,506.81024169921875,249.19146728515625,231.6199951171875,170.27130126953125,773.9024658203125,425.8599853515625,307.2760009765625,112.7681884765625,174.14935302734375
2025-09-18,237.2089080810547,505.2501220703125,251.68807983398438,231.22999572753906,176.2206573486328,778.421875,416.8500061035156,308.7347717285156,111.43795013427734,171.1616973876953
2025-09-19,244.8074188232422,514.6705322265625,254.3744354248047,231.47999572753906,176.6505889892578,776.5562133789062,426.07000732421875,310.26251220703125,110.35222625732422,173.15673828125
2025-09-22,255.35755920410156,511.21240234375,252.18739318847656,227.6300048828125,183.58984375,763.8824462890625,434.2099914550781,307.9560852050781,109.56971740722656,171.21083068847656
2025-09-23,253.71221923828125,506.0252380371094,251.31858825683594,220.7100067138672,178.410400390625,754.1387329101562,425.8500061035156,308.25177001953125,111.4574966430664,173.54002380371094
2025-09-24,251.59820556640625,506.9394226074219,246.80470275878906,220.2100067138672,176.9505615234375,759.3899536132812,442.7900085449219,308.92205810546875,112.05416107177734,173.6481475830078
2025-09-25,256.14532470703125,503.8390808105469,245.45654296875,218.14999389648438,177.67050170898438,747.6595458984375,423.3900146484375,308.9516296386719,113.06163024902344,174.6702117919922
2025-09-26,254.73931884765625,508.2411804199219,246.2055206298828,219.77999877929688,178.17044067382812,742.5081787109375,440.3999938964844,311.5241394042969,114.6559829711914,176.6161346435547
2025-09-29,253.71221923828125,511.3613586425781,243.71890258789062,222.1699981689453,181.83004760742188,742.1587524414062,443.2099914550781,311.1594543457031,111.72159576416016,178.49325561523438
2025-09-30,253.9116668701172,514.6903686523438,242.77020263671875,219.57000732421875,186.55950927734375,733.1538696289062,444.7200012207031,310.9031677246094,110.28375244140625,182.22784423828125
2025-10-01,254.72933959960938,516.4392700195312,244.5677490234375,220.6300048828125,187.21945190429688,716.1422729492188,459.4599914550781,306.2508850097656,109.54037475585938,182.8470001220703
2025-10-02,256.40460205078125,512.4942626953125,245.35667419433594,222.41000366210938,188.8692626953125,725.8360595703125,436.0,303.1362609863281,108.8556900024414,182.7781982421875
2025-10-03,257.2920837402344,514.0940551757812,245.01715087890625,219.50999450683594,187.5994110107422,709.3735961914062,429.8299865722656,305.5806579589844,110.78260040283203,185.3924102783203
2025-10-06,255.9658660888672,525.2435302734375,250.09024047851562,220.89999389648438,185.51962280273438,714.465087890625,453.25,306.2244567871094,111.70203399658203,184.92066955566406
2025-10-07,255.75643920898438,520.6823120117188,245.42657470703125,221.77999877929688,185.01968383789062,711.889404296875,433.0899963378906,304.7486877441406,111.76072692871094,185.63809204101562
2025-10-08,257.33197021484375,521.546875,244.2881317138672,225.22000122070312,189.0892333984375,716.6414794921875,438.69000244140625,301.1236877441406,111.52597045898438,186.42431640625
2025-10-09,253.32330322265625,519.1123657226562,241.2023162841797,227.74000549316406,192.54885864257812,732.2852783203125,435.5400085449219,302.6093444824219,110.44025421142578,187.7904052734375
2025-10-10,244.57806396484375,507.74432373046875,236.2490692138672,216.3699951171875,183.139892578125,704.1223754882812,413.489990234375,298.01373291015625,108.30793762207031,187.4365997314453
2025-10-13,246.96133422851562,510.81488037109375,243.81875610351562,220.07000732421875,188.29933166503906,714.5050048828125,435.8999938964844,305.0260314941406,109.78490447998047,187.61349487304688
2025-10-14,247.07101440429688,510.3379211425781,245.1169891357422,216.38999938964844,180.01022338867188,707.466796875,429.239990234375,299.19232177734375,109.83381652832031,187.56436157226562
2025-10-15,248.63656616210938,510.19879150390625,250.68942260742188,215.57000732421875,179.8102569580078,716.3519287109375,435.1499938964844,302.767822265625,109.16868591308594,187.8788604736328
2025-10-16,246.7519073486328,508.3902587890625,251.1188507080078,214.47000122070312,181.7900390625,710.881103515625,428.75,295.6861572265625,108.21990966796875,188.81248474121094
2025-10-17,251.5782470703125,510.347900390625,252.9563446044922,213.0399932861328,183.19989013671875,715.7229614257812,439.30999755859375,294.7155456542969,109.78490447998047,189.89356994628906
2025-10-20,261.50018310546875,513.5376586914062,256.2019348144531,216.47999572753906,182.6199493408203,730.947509765625,447.42999267578125,299.4696350097656,110.2348403930664,190.3849334716797
2025-10-21,262.0286865234375,514.4021606445312,250.12020874023438,222.02999877929688,181.14010620117188,732.0457153320312,442.6000061035156,294.2500305175781,110.24462890625,188.57662963867188
2025-10-22,257.72088623046875,517.2639770507812,251.34854125976562,217.9499969482422,180.2602081298828,732.1854248046875,438.9700012207031,291.2984924316406,112.20088195800781,189.61837768554688
2025-10-23,258.84765625,517.283935546875,252.73666381835938,221.08999633789062,182.13999938964844,732.7744750976562,448.9800109863281,291.72442626953125,113.44310760498047,189.15646362304688
2025-10-24,262.07855224609375,520.314697265625,259.5673828125,224.2100067138672,186.23953247070312,737.127197265625,433.7200012207031,297.5680236816406,112.86600494384766,187.12208557128906
2025-10-27,268.0516662597656,528.1749877929688,268.9046630859375,226.97000122070312,191.46897888183594,749.5663452148438,452.4200134277344,301.2425231933594,113.40398406982422,187.02381896972656
2025-10-28,268.2411193847656,538.6585693359375,267.1071472167969,229.25,201.0079345703125,750.1853637695312,460.54998779296875,302.4409484863281,112.51387786865234,183.7118377685547
2025-10-29,268.93914794921875,538.1417846679688,274.197509765625,230.3000030517578,207.01727294921875,750.4149169921875,461.510009765625,302.58953857421875,113.90282440185547,183.38751220703125
2025-10-30,270.63433837890625,522.451171875,281.09814453125,222.86000061035156,202.8677215576172,665.3572387695312,440.1000061035156,306.48199462890625,112.18132019042969,185.7953338623047
2025-10-31,269.6072692871094,514.5512084960938,280.8085021972656,244.22000122070312,202.4677734375,647.2674560546875,456.55999755859375,308.1459045410156,111.85853576660156,185.61843872070312
2025-11-03,268.29095458984375,513.776123046875,283.3350830078125,254.0,206.85728454589844,636.645263671875,468.3699951171875,306.3928527832031,111.27166748046875,183.05337524414062
2025-11-04,269.2781982421875,511.0931701660156,277.1634521484375,249.32000732421875,198.66818237304688,626.2725830078125,444.260009765625,306.2937927246094,111.64335632324219,183.64305114746094
2025-11-05,269.3779296875,503.96826171875,283.92425537109375,250.1999969482422,195.18858337402344,634.88818359375,462.07000732421875,308.7005615234375,111.19341278076172,182.7978515625
2025-11-06,269.0089416503906,493.9715576171875,284.3636779785156,243.0399932861328,188.05935668945312,617.9065551757812,445.9100036621094,310.4239501953125,111.99547576904297,183.75115966796875
2025-11-07,267.7126159667969,493.6933288574219,278.45172119140625,244.41000366210938,188.1293487548828,620.6719360351562,429.5199890136719,311.20635986328125,114.6559829711914,183.35806274414062
2025-11-10,268.93035888671875,502.8155517578125,289.7064208984375,248.39999389648438,199.0281524658203,630.7052001953125,445.2300109863281,313.8607482910156,115.63410949707031,185.16636657714844
2025-11-11,274.73956298828125,505.4786682128906,290.914794921875,249.10000610351562,193.1387939453125,626.0330200195312,439.6199951171875,312.6028747558594,117.15998077392578,190.49305725097656
2025-11-12,272.9628601074219,507.9232177734375,286.3210144042969,244.1999969482422,193.7787322998047,607.9931640625,430.6000061035156,317.34710693359375,115.53629302978516,191.0434112548828
2025-11-13,272.44384765625,500.12261962890625,278.19207763671875,237.5800018310547,186.8394775390625,608.8717041015625,401.989990234375,306.5216064453125,116.19164276123047,191.88861083984375
2025-11-14,271.9048156738281,506.96923828125,276.0350036621094,234.69000244140625,190.14910888671875,608.4424438476562,404.3500061035156,300.7076721191406,117.70126342773438,192.55690002441406
2025-11-17,266.9639892578125,504.296142578125,284.63330078125,232.8699951171875,186.5795135498047,601.0048217773438,408.9200134277344,297.4986572265625,116.11270141601562,196.14405822753906
2025-11-18,266.9440612792969,490.6824035644531,283.8943176269531,222.5500030517578,181.340087890625,596.6920776367188,401.25,296.5478515625,117.4447250366211,196.5568389892578
